year,state,total_electoral_votes,candidate,electoral_votes
1988,Kansas,7,"Michael S. Dukakis,  of Massachusetts",0
1988,Kentucky,9,"Michael S. Dukakis,  of Massachusetts",0
1988,Louisiana,10,"Michael S. Dukakis,  of Massachusetts",0
1988,Maine,4,"Michael S. Dukakis,  of Massachusetts",0
1988,Maryland,10,"Michael S. Dukakis,  of Massachusetts",0
1988,Massachusetts,13,"Michael S. Dukakis,  of Massachusetts",13
1988,Michigan,20,"Michael S. Dukakis,  of Massachusetts",0
1988,Minnesota,10,"Michael S. Dukakis,  of Massachusetts",10
1988,Mississippi,7,"Michael S. Dukakis,  of Massachusetts",0
1988,Missouri,11,"Michael S. Dukakis,  of Massachusetts",0
1988,Montana,4,"Michael S. Dukakis,  of Massachusetts",0
1988,Nebraska,5,"Michael S. Dukakis,  of Massachusetts",0
1988,Nevada,4,"Michael S. Dukakis,  of Massachusetts",0
1988,New Hampshire,4,"Michael S. Dukakis,  of Massachusetts",0
1988,New Jersey,16,"Michael S. Dukakis,  of Massachusetts",0
1988,New Mexico,5,"Michael S. Dukakis,  of Massachusetts",0
1988,New York,36,"Michael S. Dukakis,  of Massachusetts",36
1988,North Carolina,13,"Michael S. Dukakis,  of Massachusetts",0
1988,North Dakota,3,"Michael S. Dukakis,  of Massachusetts",0
1988,Ohio,23,"Michael S. Dukakis,  of Massachusetts",0
1988,Oklahoma,8,"Michael S. Dukakis,  of Massachusetts",0
1988,Oregon,7,"Michael S. Dukakis,  of Massachusetts",7
1988,Pennsylvania,25,"Michael S. Dukakis,  of Massachusetts",0
1988,Rhode Island,4,"Michael S. Dukakis,  of Massachusetts",4
1988,South Carolina,8,"Michael S. Dukakis,  of Massachusetts",0
1988,South Dakota,3,"Michael S. Dukakis,  of Massachusetts",0
1988,Tennessee,11,"Michael S. Dukakis,  of Massachusetts",0
1988,Texas,29,"Michael S. Dukakis,  of Massachusetts",0
1988,Utah,5,"Michael S. Dukakis,  of Massachusetts",0
1988,Vermont,3,"Michael S. Dukakis,  of Massachusetts",0
1988,Virginia,12,"Michael S. Dukakis,  of Massachusetts",0
1988,Washington,10,"Michael S. Dukakis,  of Massachusetts",10
1988,West Virginia,6,"Michael S. Dukakis,  of Massachusetts",5
1988,Wisconsin,11,"Michael S. Dukakis,  of Massachusetts",11
1988,Wyoming,3,"Michael S. Dukakis,  of Massachusetts",0
1988,Alabama,9,"Lloyd Bentsen,  of Texas",0
1988,Alaska,3,"Lloyd Bentsen,  of Texas",0
1988,Arizona,7,"Lloyd Bentsen,  of Texas",0
1988,Arkansas,6,"Lloyd Bentsen,  of Texas",0
1988,California,47,"Lloyd Bentsen,  of Texas",0
1988,Colorado,8,"Lloyd Bentsen,  of Texas",0
1988,Connecticut,8,"Lloyd Bentsen,  of Texas",0
1988,Delaware,3,"Lloyd Bentsen,  of Texas",0
1988,District of Columbia,3,"Lloyd Bentsen,  of Texas",0
1988,Florida,21,"Lloyd Bentsen,  of Texas",0
1988,Georgia,12,"Lloyd Bentsen,  of Texas",0
1988,Hawaii,4,"Lloyd Bentsen,  of Texas",0
1988,Idaho,4,"Lloyd Bentsen,  of Texas",0
1988,Illinois,24,"Lloyd Bentsen,  of Texas",0
1988,Indiana,12,"Lloyd Bentsen,  of Texas",0
1988,Iowa,8,"Lloyd Bentsen,  of Texas",0
1988,Kansas,7,"Lloyd Bentsen,  of Texas",0
1988,Kentucky,9,"Lloyd Bentsen,  of Texas",0
1988,Louisiana,10,"Lloyd Bentsen,  of Texas",0
1988,Maine,4,"Lloyd Bentsen,  of Texas",0
1988,Maryland,10,"Lloyd Bentsen,  of Texas",0
1988,Massachusetts,13,"Lloyd Bentsen,  of Texas",0
1988,Michigan,20,"Lloyd Bentsen,  of Texas",0
1988,Minnesota,10,"Lloyd Bentsen,  of Texas",0
1988,Mississippi,7,"Lloyd Bentsen,  of Texas",0
1988,Missouri,11,"Lloyd Bentsen,  of Texas",0
1988,Montana,4,"Lloyd Bentsen,  of Texas",0
1988,Nebraska,5,"Lloyd Bentsen,  of Texas",0
1988,Nevada,4,"Lloyd Bentsen,  of Texas",0
1988,New Hampshire,4,"Lloyd Bentsen,  of Texas",0
1988,New Jersey,16,"Lloyd Bentsen,  of Texas",0
1988,New Mexico,5,"Lloyd Bentsen,  of Texas",0
1988,New York,36,"Lloyd Bentsen,  of Texas",0
1988,North Carolina,13,"Lloyd Bentsen,  of Texas",0
1988,North Dakota,3,"Lloyd Bentsen,  of Texas",0
1988,Ohio,23,"Lloyd Bentsen,  of Texas",0
1988,Oklahoma,8,"Lloyd Bentsen,  of Texas",0
1988,Oregon,7,"Lloyd Bentsen,  of Texas",0
1988,Pennsylvania,25,"Lloyd Bentsen,  of Texas",0
1988,Rhode Island,4,"Lloyd Bentsen,  of Texas",0
1988,South Carolina,8,"Lloyd Bentsen,  of Texas",0
1988,South Dakota,3,"Lloyd Bentsen,  of Texas",0
1988,Tennessee,11,"Lloyd Bentsen,  of Texas",0
1988,Texas,29,"Lloyd Bentsen,  of Texas",0
1988,Utah,5,"Lloyd Bentsen,  of Texas",0
1988,Vermont,3,"Lloyd Bentsen,  of Texas",0
1988,Virginia,12,"Lloyd Bentsen,  of Texas",0
1988,Washington,10,"Lloyd Bentsen,  of Texas",0
1988,West Virginia,6,"Lloyd Bentsen,  of Texas",1
1988,Wisconsin,11,"Lloyd Bentsen,  of Texas",0
1988,Wyoming,3,"Lloyd Bentsen,  of Texas",0
1992,Alabama,9,"William J. Clinton, of Arkansas",0
1992,Alaska,3,"William J. Clinton, of Arkansas",0
1992,Arizona,8,"William J. Clinton, of Arkansas",0
1992,Arkansas,6,"William J. Clinton, of Arkansas",6
1992,California,54,"William J. Clinton, of Arkansas",54
1992,Colorado,8,"William J. Clinton, of Arkansas",8
1992,Connecticut,8,"William J. Clinton, of Arkansas",8
1992,Delaware,3,"William J. Clinton, of Arkansas",3
1992,District of Columbia,3,"William J. Clinton, of Arkansas",3
1992,Florida,25,"William J. Clinton, of Arkansas",0
1992,Georgia,13,"William J. Clinton, of Arkansas",13
1992,Hawaii,4,"William J. Clinton, of Arkansas",4
1992,Idaho,4,"William J. Clinton, of Arkansas",0
1992,Illinois,22,"William J. Clinton, of Arkansas",22
1992,Indiana,12,"William J. Clinton, of Arkansas",0
1992,Iowa,7,"William J. Clinton, of Arkansas",7
1992,Kansas,6,"William J. Clinton, of Arkansas",0
1992,Kentucky,8,"William J. Clinton, of Arkansas",8
1992,Louisiana,9,"William J. Clinton, of Arkansas",9
1992,Maine,4,"William J. Clinton, of Arkansas",4
1992,Maryland,10,"William J. Clinton, of Arkansas",10
1992,Massachusetts,12,"William J. Clinton, of Arkansas",12
1992,Michigan,18,"William J. Clinton, of Arkansas",18
1992,Minnesota,10,"William J. Clinton, of Arkansas",10
1992,Mississippi,7,"William J. Clinton, of Arkansas",0
1992,Missouri,11,"William J. Clinton, of Arkansas",11
1992,Montana,3,"William J. Clinton, of Arkansas",3
1992,Nebraska,5,"William J. Clinton, of Arkansas",0
1992,Nevada,4,"William J. Clinton, of Arkansas",4
1992,New Hampshire,4,"William J. Clinton, of Arkansas",4
1992,New Jersey,15,"William J. Clinton, of Arkansas",15
1992,New Mexico,5,"William J. Clinton, of Arkansas",5
1992,New York,33,"William J. Clinton, of Arkansas",33
1992,North Carolina,14,"William J. Clinton, of Arkansas",0
1992,North Dakota,3,"William J. Clinton, of Arkansas",0
1992,Ohio,21,"William J. Clinton, of Arkansas",21
1992,Oklahoma,8,"William J. Clinton, of Arkansas",0
1992,Oregon,7,"William J. Clinton, of Arkansas",7
1992,Pennsylvania,23,"William J. Clinton, of Arkansas",23
1992,Rhode Island,4,"William J. Clinton, of Arkansas",4
1992,South Carolina,8,"William J. Clinton, of Arkansas",0
1992,South Dakota,3,"William J. Clinton, of Arkansas",0
1992,Tennessee,11,"William J. Clinton, of Arkansas",11
1992,Texas,32,"William J. Clinton, of Arkansas",0
1992,Utah,5,"William J. Clinton, of Arkansas",0
1992,Vermont,3,"William J. Clinton, of Arkansas",3
1992,Virginia,13,"William J. Clinton, of Arkansas",0
1992,Washington,11,"William J. Clinton, of Arkansas",11
1992,West Virginia,5,"William J. Clinton, of Arkansas",5
1992,Wisconsin,11,"William J. Clinton, of Arkansas",11
1992,Wyoming,3,"William J. Clinton, of Arkansas",0
1992,Alabama,9,"George Bush, of Texas",9
1992,Alaska,3,"George Bush, of Texas",3
1992,Arizona,8,"George Bush, of Texas",8
1992,Arkansas,6,"George Bush, of Texas",0
1992,California,54,"George Bush, of Texas",0
1992,Colorado,8,"George Bush, of Texas",0
1992,Connecticut,8,"George Bush, of Texas",0
1992,Delaware,3,"George Bush, of Texas",0
1992,District of Columbia,3,"George Bush, of Texas",0
1992,Florida,25,"George Bush, of Texas",25
1992,Georgia,13,"George Bush, of Texas",0
1992,Hawaii,4,"George Bush, of Texas",0
1992,Idaho,4,"George Bush, of Texas",4
1992,Illinois,22,"George Bush, of Texas",0
1992,Indiana,12,"George Bush, of Texas",12
1992,Iowa,7,"George Bush, of Texas",0
1992,Kansas,6,"George Bush, of Texas",6
1992,Kentucky,8,"George Bush, of Texas",0
1992,Louisiana,9,"George Bush, of Texas",0
1992,Maine,4,"George Bush, of Texas",0
1992,Maryland,10,"George Bush, of Texas",0
1992,Massachusetts,12,"George Bush, of Texas",0
1992,Michigan,18,"George Bush, of Texas",0
1992,Minnesota,10,"George Bush, of Texas",0
1992,Mississippi,7,"George Bush, of Texas",7
1992,Missouri,11,"George Bush, of Texas",0
1992,Montana,3,"George Bush, of Texas",0
1992,Nebraska,5,"George Bush, of Texas",5
1992,Nevada,4,"George Bush, of Texas",0
1992,New Hampshire,4,"George Bush, of Texas",0
1992,New Jersey,15,"George Bush, of Texas",0
1992,New Mexico,5,"George Bush, of Texas",0
1992,New York,33,"George Bush, of Texas",0
1992,North Carolina,14,"George Bush, of Texas",14
1992,North Dakota,3,"George Bush, of Texas",3
1992,Ohio,21,"George Bush, of Texas",0
1992,Oklahoma,8,"George Bush, of Texas",8
1992,Oregon,7,"George Bush, of Texas",0
1992,Pennsylvania,23,"George Bush, of Texas",0
1992,Rhode Island,4,"George Bush, of Texas",0
1992,South Carolina,8,"George Bush, of Texas",8
1992,South Dakota,3,"George Bush, of Texas",3
1992,Tennessee,11,"George Bush, of Texas",0
1992,Texas,32,"George Bush, of Texas",32
1992,Utah,5,"George Bush, of Texas",5
1992,Vermont,3,"George Bush, of Texas",0
1992,Virginia,13,"George Bush, of Texas",13
1992,Washington,11,"George Bush, of Texas",0
1992,West Virginia,5,"George Bush, of Texas",0
1992,Wisconsin,11,"George Bush, of Texas",0
1992,Wyoming,3,"George Bush, of Texas",3
1996,Alabama,9,"William J. Clinton, of Arkansas",0
1996,Alaska,3,"William J. Clinton, of Arkansas",0
1996,Arizona,8,"William J. Clinton, of Arkansas",8
1996,Arkansas,6,"William J. Clinton, of Arkansas",6
1996,California,54,"William J. Clinton, of Arkansas",54
1996,Colorado,8,"William J. Clinton, of Arkansas",0
1996,Connecticut,8,"William J. Clinton, of Arkansas",8
1996,Delaware,3,"William J. Clinton, of Arkansas",3
1996,District of Columbia,3,"William J. Clinton, of Arkansas",3
1996,Florida,25,"William J. Clinton, of Arkansas",25
1996,Georgia,13,"William J. Clinton, of Arkansas",0
1996,Hawaii,4,"William J. Clinton, of Arkansas",4
1996,Idaho,4,"William J. Clinton, of Arkansas",0
1996,Illinois,22,"William J. Clinton, of Arkansas",22
1996,Indiana,12,"William J. Clinton, of Arkansas",0
1996,Iowa,7,"William J. Clinton, of Arkansas",7
1996,Kansas,6,"William J. Clinton, of Arkansas",0
1996,Kentucky,8,"William J. Clinton, of Arkansas",8
1996,Louisiana,9,"William J. Clinton, of Arkansas",9
1996,Maine,4,"William J. Clinton, of Arkansas",4
1996,Maryland,10,"William J. Clinton, of Arkansas",10
1996,Massachusetts,12,"William J. Clinton, of Arkansas",12
1996,Michigan,18,"William J. Clinton, of Arkansas",18
1996,Minnesota,10,"William J. Clinton, of Arkansas",10
1996,Mississippi,7,"William J. Clinton, of Arkansas",0
1996,Missouri,11,"William J. Clinton, of Arkansas",11
1996,Montana,3,"William J. Clinton, of Arkansas",0
1996,Nebraska,5,"William J. Clinton, of Arkansas",0
1996,Nevada,4,"William J. Clinton, of Arkansas",4
1996,New Hampshire,4,"William J. Clinton, of Arkansas",4
1996,New Jersey,15,"William J. Clinton, of Arkansas",15
1996,New Mexico,5,"William J. Clinton, of Arkansas",5
1996,New York,33,"William J. Clinton, of Arkansas",33
1996,North Carolina,14,"William J. Clinton, of Arkansas",0
1996,North Dakota,3,"William J. Clinton, of Arkansas",0
1996,Ohio,21,"William J. Clinton, of Arkansas",21
1996,Oklahoma,8,"William J. Clinton, of Arkansas",0
1996,Oregon,7,"William J. Clinton, of Arkansas",7
1996,Pennsylvania,23,"William J. Clinton, of Arkansas",23
1996,Rhode Island,4,"William J. Clinton, of Arkansas",4
1996,South Carolina,8,"William J. Clinton, of Arkansas",0
1996,South Dakota,3,"William J. Clinton, of Arkansas",0
1996,Tennessee,11,"William J. Clinton, of Arkansas",11
1996,Texas,32,"William J. Clinton, of Arkansas",0
1996,Utah,5,"William J. Clinton, of Arkansas",0
1996,Vermont,3,"William J. Clinton, of Arkansas",3
1996,Virginia,13,"William J. Clinton, of Arkansas",0
1996,Washington,11,"William J. Clinton, of Arkansas",11
1996,West Virginia,5,"William J. Clinton, of Arkansas",5
1996,Wisconsin,11,"William J. Clinton, of Arkansas",11
1996,Wyoming,3,"William J. Clinton, of Arkansas",0
1996,Alabama,9,"Robert Dole, of Kansas",9
1996,Alaska,3,"Robert Dole, of Kansas",3
1996,Arizona,8,"Robert Dole, of Kansas",0
1996,Arkansas,6,"Robert Dole, of Kansas",0
1996,California,54,"Robert Dole, of Kansas",0
1996,Colorado,8,"Robert Dole, of Kansas",8
1996,Connecticut,8,"Robert Dole, of Kansas",0
1996,Delaware,3,"Robert Dole, of Kansas",0
1996,District of Columbia,3,"Robert Dole, of Kansas",0
1996,Florida,25,"Robert Dole, of Kansas",0
1996,Georgia,13,"Robert Dole, of Kansas",13
1996,Hawaii,4,"Robert Dole, of Kansas",0
1996,Idaho,4,"Robert Dole, of Kansas",4
1996,Illinois,22,"Robert Dole, of Kansas",0
1996,Indiana,12,"Robert Dole, of Kansas",12
1996,Iowa,7,"Robert Dole, of Kansas",0
1996,Kansas,6,"Robert Dole, of Kansas",6
1996,Kentucky,8,"Robert Dole, of Kansas",0
1996,Louisiana,9,"Robert Dole, of Kansas",0
1996,Maine,4,"Robert Dole, of Kansas",0
1996,Maryland,10,"Robert Dole, of Kansas",0
1996,Massachusetts,12,"Robert Dole, of Kansas",0
1996,Michigan,18,"Robert Dole, of Kansas",0
1996,Minnesota,10,"Robert Dole, of Kansas",0
1996,Mississippi,7,"Robert Dole, of Kansas",7
1996,Missouri,11,"Robert Dole, of Kansas",0
1996,Montana,3,"Robert Dole, of Kansas",3
1996,Nebraska,5,"Robert Dole, of Kansas",5
1996,Nevada,4,"Robert Dole, of Kansas",0
1996,New Hampshire,4,"Robert Dole, of Kansas",0
1996,New Jersey,15,"Robert Dole, of Kansas",0
1996,New Mexico,5,"Robert Dole, of Kansas",0
1996,New York,33,"Robert Dole, of Kansas",0
1996,North Carolina,14,"Robert Dole, of Kansas",14
1996,North Dakota,3,"Robert Dole, of Kansas",3
1996,Ohio,21,"Robert Dole, of Kansas",0
1996,Oklahoma,8,"Robert Dole, of Kansas",8
1996,Oregon,7,"Robert Dole, of Kansas",0
1996,Pennsylvania,23,"Robert Dole, of Kansas",0
1996,Rhode Island,4,"Robert Dole, of Kansas",0
1996,South Carolina,8,"Robert Dole, of Kansas",8
1996,South Dakota,3,"Robert Dole, of Kansas",3
1996,Tennessee,11,"Robert Dole, of Kansas",0
1996,Texas,32,"Robert Dole, of Kansas",32
1996,Utah,5,"Robert Dole, of Kansas",5
1996,Vermont,3,"Robert Dole, of Kansas",0
1996,Virginia,13,"Robert Dole, of Kansas",13
1996,Washington,11,"Robert Dole, of Kansas",0
1996,West Virginia,5,"Robert Dole, of Kansas",0
1996,Wisconsin,11,"Robert Dole, of Kansas",0
1996,Wyoming,3,"Robert Dole, of Kansas",3
2000,Alabama,9,"George W. Bush, of Texas",9
2000,Alaska,3,"George W. Bush, of Texas",3
2000,Arizona,8,"George W. Bush, of Texas",8
2000,Arkansas,6,"George W. Bush, of Texas",6
2000,California,54,"George W. Bush, of Texas",0
2000,Colorado,8,"George W. Bush, of Texas",8
2000,Connecticut,8,"George W. Bush, of Texas",0
2000,Delaware,3,"George W. Bush, of Texas",0
2000,District of Columbia,3,"George W. Bush, of Texas",0
2000,Florida,25,"George W. Bush, of Texas",25
2000,Georgia,13,"George W. Bush, of Texas",13
2000,Hawaii,4,"George W. Bush, of Texas",0
2000,Idaho,4,"George W. Bush, of Texas",4
2000,Illinois,22,"George W. Bush, of Texas",0
2000,Indiana,12,"George W. Bush, of Texas",12
2000,Iowa,7,"George W. Bush, of Texas",0
2000,Kansas,6,"George W. Bush, of Texas",6
2000,Kentucky,8,"George W. Bush, of Texas",8
2000,Louisiana,9,"George W. Bush, of Texas",9
2000,Maine,4,"George W. Bush, of Texas",0
2000,Maryland,10,"George W. Bush, of Texas",0
2000,Massachusetts,12,"George W. Bush, of Texas",0
2000,Michigan,18,"George W. Bush, of Texas",0
2000,Minnesota,10,"George W. Bush, of Texas",0
2000,Mississippi,7,"George W. Bush, of Texas",7
2000,Missouri,11,"George W. Bush, of Texas",11
2000,Montana,3,"George W. Bush, of Texas",3
2000,Nebraska,5,"George W. Bush, of Texas",5
2000,Nevada,4,"George W. Bush, of Texas",4
2000,New Hampshire,4,"George W. Bush, of Texas",4
2000,New Jersey,15,"George W. Bush, of Texas",0
2000,New Mexico,5,"George W. Bush, of Texas",0
2000,New York,33,"George W. Bush, of Texas",0
2000,North Carolina,14,"George W. Bush, of Texas",14
2000,North Dakota,3,"George W. Bush, of Texas",3
2000,Ohio,21,"George W. Bush, of Texas",21
2000,Oklahoma,8,"George W. Bush, of Texas",8
2000,Oregon,7,"George W. Bush, of Texas",0
2000,Pennsylvania,23,"George W. Bush, of Texas",0
2000,Rhode Island,4,"George W. Bush, of Texas",0
2000,South Carolina,8,"George W. Bush, of Texas",8
2000,South Dakota,3,"George W. Bush, of Texas",3
2000,Tennessee,11,"George W. Bush, of Texas",11
2000,Texas,32,"George W. Bush, of Texas",32
2000,Utah,5,"George W. Bush, of Texas",5
2000,Vermont,3,"George W. Bush, of Texas",0
2000,Virginia,13,"George W. Bush, of Texas",13
2000,Washington,11,"George W. Bush, of Texas",0
2000,West Virginia,5,"George W. Bush, of Texas",5
2000,Wisconsin,11,"George W. Bush, of Texas",0
2000,Wyoming,3,"George W. Bush, of Texas",3
2000,Alabama,9,"Albert Gore, Jr., of Tennessee",0
2000,Alaska,3,"Albert Gore, Jr., of Tennessee",0
2000,Arizona,8,"Albert Gore, Jr., of Tennessee",0
2000,Arkansas,6,"Albert Gore, Jr., of Tennessee",0
2000,California,54,"Albert Gore, Jr., of Tennessee",54
2000,Colorado,8,"Albert Gore, Jr., of Tennessee",0
2000,Connecticut,8,"Albert Gore, Jr., of Tennessee",8
2000,Delaware,3,"Albert Gore, Jr., of Tennessee",3
2000,District of Columbia,3,"Albert Gore, Jr., of Tennessee",2
2000,Florida,25,"Albert Gore, Jr., of Tennessee",0
2000,Georgia,13,"Albert Gore, Jr., of Tennessee",0
2000,Hawaii,4,"Albert Gore, Jr., of Tennessee",4
2000,Idaho,4,"Albert Gore, Jr., of Tennessee",0
2000,Illinois,22,"Albert Gore, Jr., of Tennessee",22
2000,Indiana,12,"Albert Gore, Jr., of Tennessee",0
2000,Iowa,7,"Albert Gore, Jr., of Tennessee",7
2000,Kansas,6,"Albert Gore, Jr., of Tennessee",0
2000,Kentucky,8,"Albert Gore, Jr., of Tennessee",0
2000,Louisiana,9,"Albert Gore, Jr., of Tennessee",0
2000,Maine,4,"Albert Gore, Jr., of Tennessee",4
2000,Maryland,10,"Albert Gore, Jr., of Tennessee",10
2000,Massachusetts,12,"Albert Gore, Jr., of Tennessee",12
2000,Michigan,18,"Albert Gore, Jr., of Tennessee",18
2000,Minnesota,10,"Albert Gore, Jr., of Tennessee",10
2000,Mississippi,7,"Albert Gore, Jr., of Tennessee",0
2000,Missouri,11,"Albert Gore, Jr., of Tennessee",0
2000,Montana,3,"Albert Gore, Jr., of Tennessee",0
2000,Nebraska,5,"Albert Gore, Jr., of Tennessee",0
2000,Nevada,4,"Albert Gore, Jr., of Tennessee",0
2000,New Hampshire,4,"Albert Gore, Jr., of Tennessee",0
2000,New Jersey,15,"Albert Gore, Jr., of Tennessee",15
2000,New Mexico,5,"Albert Gore, Jr., of Tennessee",5
2000,New York,33,"Albert Gore, Jr., of Tennessee",33
2000,North Carolina,14,"Albert Gore, Jr., of Tennessee",0
2000,North Dakota,3,"Albert Gore, Jr., of Tennessee",0
2000,Ohio,21,"Albert Gore, Jr., of Tennessee",0
2000,Oklahoma,8,"Albert Gore, Jr., of Tennessee",0
2000,Oregon,7,"Albert Gore, Jr., of Tennessee",7
2000,Pennsylvania,23,"Albert Gore, Jr., of Tennessee",23
2000,Rhode Island,4,"Albert Gore, Jr., of Tennessee",4
2000,South Carolina,8,"Albert Gore, Jr., of Tennessee",0
2000,South Dakota,3,"Albert Gore, Jr., of Tennessee",0
2000,Tennessee,11,"Albert Gore, Jr., of Tennessee",0
2000,Texas,32,"Albert Gore, Jr., of Tennessee",0
2000,Utah,5,"Albert Gore, Jr., of Tennessee",0
2000,Vermont,3,"Albert Gore, Jr., of Tennessee",3
2000,Virginia,13,"Albert Gore, Jr., of Tennessee",0
2000,Washington,11,"Albert Gore, Jr., of Tennessee",11
2000,West Virginia,5,"Albert Gore, Jr., of Tennessee",0
2000,Wisconsin,11,"Albert Gore, Jr., of Tennessee",11
2000,Wyoming,3,"Albert Gore, Jr., of Tennessee",0
2004,Alabama,9,"George W. Bush, of Texas",9
2004,Alaska,3,"George W. Bush, of Texas",3
2004,Arizona,10,"George W. Bush, of Texas",10
2004,Arkansas,6,"George W. Bush, of Texas",6
2004,California,55,"George W. Bush, of Texas",0
2004,Colorado,9,"George W. Bush, of Texas",9
2004,Connecticut,7,"George W. Bush, of Texas",0
2004,Delaware,3,"George W. Bush, of Texas",0
2004,District of Columbia,3,"George W. Bush, of Texas",0
2004,Florida,27,"George W. Bush, of Texas",27
2004,Georgia,15,"George W. Bush, of Texas",15
2004,Hawaii,4,"George W. Bush, of Texas",0
2004,Idaho,4,"George W. Bush, of Texas",4
2004,Illinois,21,"George W. Bush, of Texas",0
2004,Indiana,11,"George W. Bush, of Texas",11
2004,Iowa,7,"George W. Bush, of Texas",7
2004,Kansas,6,"George W. Bush, of Texas",6
2004,Kentucky,8,"George W. Bush, of Texas",8
2004,Louisiana,9,"George W. Bush, of Texas",9
2004,Maine,4,"George W. Bush, of Texas",0
2004,Maryland,10,"George W. Bush, of Texas",0
2004,Massachusetts,12,"George W. Bush, of Texas",0
2004,Michigan,17,"George W. Bush, of Texas",0
2004,Minnesota,10,"George W. Bush, of Texas",0
2004,Mississippi,6,"George W. Bush, of Texas",6
2004,Missouri,11,"George W. Bush, of Texas",11
2004,Montana,3,"George W. Bush, of Texas",3
2004,Nebraska,5,"George W. Bush, of Texas",5
2004,Nevada,5,"George W. Bush, of Texas",5
2004,New Hampshire,4,"George W. Bush, of Texas",0
2004,New Jersey,15,"George W. Bush, of Texas",0
2004,New Mexico,5,"George W. Bush, of Texas",5
2004,New York,31,"George W. Bush, of Texas",0
2004,North Carolina,15,"George W. Bush, of Texas",15
2004,North Dakota,3,"George W. Bush, of Texas",3
2004,Ohio,20,"George W. Bush, of Texas",20
2004,Oklahoma,7,"George W. Bush, of Texas",7
2004,Oregon,7,"George W. Bush, of Texas",0
2004,Pennsylvania,21,"George W. Bush, of Texas",0
2004,Rhode Island,4,"George W. Bush, of Texas",0
2004,South Carolina,8,"George W. Bush, of Texas",8
2004,South Dakota,3,"George W. Bush, of Texas",3
2004,Tennessee,11,"George W. Bush, of Texas",11
2004,Texas,34,"George W. Bush, of Texas",34
2004,Utah,5,"George W. Bush, of Texas",5
2004,Vermont,3,"George W. Bush, of Texas",0
2004,Virginia,13,"George W. Bush, of Texas",13
2004,Washington,11,"George W. Bush, of Texas",0
2004,West Virginia,5,"George W. Bush, of Texas",5
