Datos,Local,Marcador,Visita,Estadio
Viernes 8 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 18 Enero 2021 - 19:30 hrs.,Puebla F.C.,1 - 1,Guadalajara,Cuauhtémoc
Viernes 8 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 18 Enero 2021 - 19:06 hrs.,Tijuana,0 - 0,PUMAS,Caliente
Viernes 8 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 18 Enero 2021 - 20:30 hrs.,Mazatlán FC,3 - 2,Necaxa,Estadio Mazatlán
Sábado 9 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 19 Enero 2021 - 17:00 hrs.,Atlas,0 - 2,Monterrey,Jalisco
Sábado 9 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 19 Enero 2021 - 19:00 hrs.,UANL,2 - 0,León,Universitario
Sábado 9 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 19 Enero 2021 - 21:00 hrs.,América,2 - 1,Club Atlético de San Luis,Azteca
Domingo 10 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 110 Enero 2021 - 12:00 hrs.,Toluca,3 - 1,Gallos Blancos de Querétaro,Nemesio Diez
Domingo 10 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 110 Enero 2021 - 19:06 hrs.,Santos Laguna,1 - 0,Cruz Azul,TSM Corona
Lunes 11 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 111 Enero 2021 - 21:00 hrs.,Pachuca,1 - 1,FC Juárez,Hidalgo
Viernes 15 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 215 Enero 2021 - 19:30 hrs.,Necaxa,1 - 0,Club Atlético de San Luis,Victoria
Viernes 15 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 215 Enero 2021 - 20:30 hrs.,FC Juárez,0 - 0,Tijuana,Olímpico Benito Juárez
Sábado 16 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 216 Enero 2021 - 17:00 hrs.,Guadalajara,1 - 1,Toluca,Estadio AKRON
Sábado 16 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 216 Enero 2021 - 19:00 hrs.,Cruz Azul,0 - 1,Puebla F.C.,Azteca
Sábado 16 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 216 Enero 2021 - 21:06 hrs.,Monterrey,1 - 0,América,Estadio BBVA
Domingo 17 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 217 Enero 2021 - 12:00 hrs.,PUMAS,3 - 0,Mazatlán FC,Olímpico Universitario
Domingo 17 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 217 Enero 2021 - 19:06 hrs.,Santos Laguna,2 - 0,UANL,TSM Corona
Domingo 17 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 217 Enero 2021 - 21:06 hrs.,Gallos Blancos de Querétaro,1 - 0,Atlas,La Corregidora
Lunes 18 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 218 Enero 2021 - 21:00 hrs.,León,0 - 0,Pachuca,Nou Camp
Jueves 21 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 321 Enero 2021 - 21:00 hrs.,Club Atlético de San Luis,3 - 1,Guadalajara,Alfonso Lastras Ramírez
Viernes 22 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 322 Enero 2021 - 19:30 hrs.,Puebla F.C.,0 - 1,Tijuana,Cuauhtémoc
Viernes 22 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 322 Enero 2021 - 20:30 hrs.,Mazatlán FC,0 - 0,Santos Laguna,Estadio Mazatlán
Sábado 23 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 323 Enero 2021 - 19:00 hrs.,Atlas,0 - 2,UANL,Jalisco
Domingo 24 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 324 Enero 2021 - 12:00 hrs.,Toluca,2 - 0,Necaxa,Nemesio Diez
Domingo 24 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 324 Enero 2021 - 19:00 hrs.,Gallos Blancos de Querétaro,2 - 0,PUMAS,La Corregidora
Lunes 25 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 325 Enero 2021 - 21:00 hrs.,Pachuca,0 - 1,Cruz Azul,Hidalgo
Martes 26 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 326 Enero 2021 - 20:30 hrs.,América,2 - 0,FC Juárez,Azteca
Jueves 28 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 428 Enero 2021 - 21:00 hrs.,UANL,1 - 1,Necaxa,Universitario
Viernes 29 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 429 Enero 2021 - 20:30 hrs.,Mazatlán FC,1 - 0,Pachuca,Estadio Mazatlán
Sábado 30 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 430 Enero 2021 - 19:00 hrs.,Guadalajara,1 - 2,FC Juárez,Estadio AKRON
Sábado 30 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 430 Enero 2021 - 21:00 hrs.,Cruz Azul,4 - 1,Gallos Blancos de Querétaro,Azteca
Sábado 30 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 430 Enero 2021 - 19:06 hrs.,Tijuana,3 - 2,Toluca,Caliente
Domingo 31 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 431 Enero 2021 - 12:00 hrs.,PUMAS,0 - 0,Atlas,Olímpico Universitario
Domingo 31 de Enero de 2021Temporada 2020-2021Torneo ClausuraJornada 431 Enero 2021 - 19:06 hrs.,Santos Laguna,1 - 1,América,TSM Corona
Lunes 1 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 41 Febrero 2021 - 21:00 hrs.,León,3 - 1,Club Atlético de San Luis,Nou Camp
Martes 2 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 42 Febrero 2021 - 21:00 hrs.,Puebla F.C.,0 - 0,Monterrey,Cuauhtémoc
Jueves 4 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 54 Febrero 2021 - 19:00 hrs.,Club Atlético de San Luis,2 - 2,Tijuana,Alfonso Lastras Ramírez
Jueves 4 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 54 Febrero 2021 - 21:00 hrs.,Gallos Blancos de Querétaro,3 - 1,Pachuca,La Corregidora
Viernes 5 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 55 Febrero 2021 - 21:30 hrs.,Necaxa,0 - 2,Cruz Azul,Victoria
Sábado 6 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 56 Febrero 2021 - 17:00 hrs.,Atlas,1 - 1,Santos Laguna,Jalisco
Sábado 6 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 56 Febrero 2021 - 19:00 hrs.,América,1 - 0,Puebla F.C.,Azteca
Sábado 6 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 56 Febrero 2021 - 21:06 hrs.,Monterrey,1 - 0,PUMAS,Estadio BBVA
Domingo 7 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 57 Febrero 2021 - 12:00 hrs.,Toluca,4 - 1,Mazatlán FC,Nemesio Diez
Lunes 8 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 58 Febrero 2021 - 21:00 hrs.,León,1 - 3,Guadalajara,Nou Camp
Viernes 12 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 612 Febrero 2021 - 19:30 hrs.,Puebla F.C.,4 - 0,FC Juárez,Cuauhtémoc
Viernes 12 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 612 Febrero 2021 - 19:06 hrs.,Tijuana,2 - 0,León,Caliente
Viernes 12 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 612 Febrero 2021 - 20:30 hrs.,Mazatlán FC,0 - 3,Club Atlético de San Luis,Estadio Mazatlán
Sábado 13 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 613 Febrero 2021 - 19:00 hrs.,Guadalajara,2 - 2,Necaxa,Estadio AKRON
Sábado 13 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 613 Febrero 2021 - 21:00 hrs.,América,2 - 1,Gallos Blancos de Querétaro,Azteca
Domingo 14 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 614 Febrero 2021 - 12:00 hrs.,Toluca,1 - 0,PUMAS,Nemesio Diez
Domingo 14 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 614 Febrero 2021 - 19:06 hrs.,Santos Laguna,1 - 0,Monterrey,TSM Corona
Lunes 15 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 615 Febrero 2021 - 21:00 hrs.,Pachuca,0 - 1,Atlas,Hidalgo
Miércoles 17 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 617 Febrero 2021 - 21:00 hrs.,UANL,0 - 2,Cruz Azul,Universitario
Jueves 18 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 718 Febrero 2021 - 21:00 hrs.,Club Atlético de San Luis,1 - 0,Santos Laguna,Alfonso Lastras Ramírez
Viernes 19 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 719 Febrero 2021 - 19:30 hrs.,Necaxa,1 - 1,Monterrey,Victoria
Viernes 19 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 719 Febrero 2021 - 20:30 hrs.,FC Juárez,1 - 0,Mazatlán FC,Olímpico Benito Juárez
Sábado 20 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 720 Febrero 2021 - 19:00 hrs.,Cruz Azul,3 - 2,Toluca,Azteca
Sábado 20 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 720 Febrero 2021 - 21:00 hrs.,Atlas,3 - 0,América,Jalisco
Domingo 21 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 721 Febrero 2021 - 12:00 hrs.,PUMAS,0 - 1,León,Olímpico Universitario
Domingo 21 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 721 Febrero 2021 - 17:00 hrs.,Gallos Blancos de Querétaro,1 - 1,Puebla F.C.,La Corregidora
Domingo 21 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 721 Febrero 2021 - 19:00 hrs.,UANL,3 - 2,Tijuana,Universitario
Lunes 22 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 722 Febrero 2021 - 21:00 hrs.,Pachuca,1 - 1,Guadalajara,Hidalgo
Jueves 25 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 825 Febrero 2021 - 21:00 hrs.,Club Atlético de San Luis,2 - 2,UANL,Alfonso Lastras Ramírez
Viernes 26 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 826 Febrero 2021 - 19:30 hrs.,Puebla F.C.,1 - 0,Necaxa,Cuauhtémoc
Viernes 26 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 826 Febrero 2021 - 20:30 hrs.,Mazatlán FC,3 - 0,Gallos Blancos de Querétaro,Estadio Mazatlán
Sábado 27 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 827 Febrero 2021 - 17:00 hrs.,Toluca,0 - 0,Atlas,Nemesio Diez
Sábado 27 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 827 Febrero 2021 - 19:00 hrs.,América,2 - 0,Pachuca,Azteca
Sábado 27 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 827 Febrero 2021 - 21:00 hrs.,León,0 - 1,Cruz Azul,Nou Camp
Domingo 28 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 828 Febrero 2021 - 17:00 hrs.,Monterrey,1 - 1,Tijuana,Estadio BBVA
Domingo 28 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 828 Febrero 2021 - 19:06 hrs.,Santos Laguna,3 - 2,FC Juárez,TSM Corona
Domingo 28 de Febrero de 2021Temporada 2020-2021Torneo ClausuraJornada 828 Febrero 2021 - 21:00 hrs.,Guadalajara,2 - 1,PUMAS,Estadio AKRON
Martes 2 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 92 Marzo 2021 - 17:00 hrs.,Atlas,3 - 1,Club Atlético de San Luis,Jalisco
Martes 2 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 92 Marzo 2021 - 19:00 hrs.,UANL,0 - 1,Toluca,Universitario
Martes 2 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 92 Marzo 2021 - 21:00 hrs.,León,1 - 2,Puebla F.C.,Nou Camp
Miércoles 3 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 93 Marzo 2021 - 19:00 hrs.,Gallos Blancos de Querétaro,2 - 2,Guadalajara,La Corregidora
Miércoles 3 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 93 Marzo 2021 - 18:00 hrs.,FC Juárez,1 - 6,Monterrey,Olímpico Benito Juárez
Miércoles 3 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 93 Marzo 2021 - 21:00 hrs.,Cruz Azul,1 - 0,Mazatlán FC,Azteca
Miércoles 3 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 93 Marzo 2021 - 19:06 hrs.,Tijuana,0 - 2,América,Caliente
Jueves 4 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 94 Marzo 2021 - 19:00 hrs.,Necaxa,2 - 2,Pachuca,Victoria
Jueves 4 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 94 Marzo 2021 - 21:00 hrs.,PUMAS,1 - 0,Santos Laguna,Olímpico Universitario
Viernes 5 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 105 Marzo 2021 - 19:30 hrs.,Club Atlético de San Luis,0 - 0,Toluca,Alfonso Lastras Ramírez
Viernes 5 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 105 Marzo 2021 - 21:30 hrs.,Puebla F.C.,1 - 1,UANL,Cuauhtémoc
Sábado 6 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 106 Marzo 2021 - 17:00 hrs.,Atlas,2 - 0,FC Juárez,Jalisco
Sábado 6 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 106 Marzo 2021 - 19:00 hrs.,América,2 - 1,León,Azteca
Sábado 6 de Marzo de 2021Temporada 2020-2021Torneo ClausuraJornada 106 Marzo 2021 - 19:06 hrs.,Monterrey,2 - 1,Gallos Blancos de Querétaro,Estadio BBVA
